,title,description
4,"Merger of Cruise Bank and Radial Bank declared! Increase in 
profits seem exceedingly high.
","A rumour has come out that Cruise Bank and Radial 
bank are merging. It is unknown what’s to happen but it is a great news for shareholders and users to see two biggest finance giants in India coming together.
"
5,"Radial Bank acquires 18.55% stake in Cox & Kings, now 
2nd-largest shareholder
","According to reports Radial bank became 2nd highest 
shareholders with reliance still topping the list.
"
6," Rs 500-Crore fraud In Axial Bank Boosts Radial Banks profits 
by 50% 
",Reports are strong that the CEO of Axial bank has caused a fraud of Rs500-Crore increasing the profits of its rival radial bank.This could seriously help Radial Bank increase share price.
7,Radial Bank Shares Fall Over 3% Ahead Of Earnings,"A real bad news for owners of Radial Bank shares. There 
is a very minute chance of a rise in its value.
"
8,Radial Bank Reports Rs. 689-Crore Fraud,"Reports are coming strong and true that the Manager of 
Radial bank in one of its biggest branches in Mumbai 
has caused a fraud of approx. Rs 689-Crores.
"
9,"RBI Imposes Rs. 7 Crore Penalty On Radial Bank For 
Violating Rules
","Due to a miscalculation in interest given to one of its 
users, RBI has imposed a penalty of Rs. 7 Crores on Radial Bank.
"
10,"Radial Bank slaps Rs 26 lakh fine on MobiLash, Hip Bar for
violating norms
","MobiLash, a child company of Radial Bank did not follow 
some of the guidelines passed by the Bank and were 
fined Rs 26 lakh 
"
11,"Radial Bank  Doesn't Need You To Maintain Any Particular 
Balance In Basic Savings Account
","Having a particular Balance in saving account is hectic 
for some people but Radial Bank comes out to be the first bank in India to get rid of it.
"
14,Net profit of INTech has increased by 230% in the last year.,"Over the last year, Demand for INTech has gone through the roof. Its profit has increased so much so that at this rate it’ll be the 3th highest grosser by 2020."
15,Shift to use of AI(Artificial Intelligence) and automation to transform the businesses of its clients,"Increased applications of Artificial Intelligence and Automation will help reduce manual labour, increase efficiency and also lead to consistent flawless results without any errors."
16,INTech has recently bought 12% shares in Tata Consultancy Services.,"Tata Consultancy Services being one of the leading IT industries in India, a partnership with them can seriously boost their advancement in the industry and help increase demand."
18,Share value has dropped by 4% over the last fortnight,Even though demand has improved drastically the partial recession in the industry has made many people sell their shares which has led to a decrease in share market value.
19,Infosys is making efforts to lure clients from other companies to choose them instead.,Infosys is using aggressive marketing techniques to lure clients from other companies .So far they have been successful in stealing 5 of INtechs clients which could really affect their gross revenues.
20, 3 Clients file complaints worth Rs.9 Crore against INTech.,Old clients have filed reports of fraud against INTech.Even though it seems like these cases have no merit they have created a sense of doubt in the mind of investors and present clients which could impact them in negative ways.
22,Wipro and INTech are talking about a possible merger.,Two of the most upcoming Technology Companies are talking about possibly joining forces. Will this be a good move? Or will it turn out to be the downfall of both?
23,INTech believes in having a large number of small client companies than having a few large ones.,Instead of catering to the big well established companies in the country. INTech focuses on selling technology to start ups and small corporations instead as in this way the company can grow and get more diverse.
25, Good news for Prudent National Bank debit card holders .,Your shopping can get you cashback now. Prudent National Bank offers 5% cashback up to Rs. 500 on online shopping.
26,"Prudent National Bank and CSC launches credit card for small traders, village entrepreneurs."," The credit card is specifically designed for CSC’s VLEs, and VLE-sourced customers, and will give users easy access to credit for their day-to-day business expenses, according to a statement."
27,Prudent National bank revises Fixed Deposit Rates., The bank offers an additional 50 basis points in interest rates to senior citizens on fixed deposits below ₹2 crore on select maturities
29,1. Private banks come under selling pressure on Prudent National Bank scare,India’s biggest lender by market capitalisation — reported weakness in asset quality and slowdown in retail loan growth in the June quarter.
30,Prudent National Bank shares lost over 3%  despite it being in line with  analysts' estimates., Prudent National Bank has formed a Gap-Down Chart pattern today and its stock price has lost 4% of its value since the last four trading days.
31,"Nine of top-10 firms lose ₹88,609 crore in Market Capitalization, Prudent National Bank, TCS top losers","Reliance Industries was the lone gainer among the top-10 frontline companies, adding Rs.11425.21 crore to its m-cap for the week ended Friday."
